"","P6_S3"
"1",47.5152892313859
"2",56.5495729518449
"3",57.1016818577855
"4",61.2295570478635
"5",61.2515264506913
"6",67.5075084454547
"7",70.4252876437752
"8",71.4487034990663
"9",73.3025126547578
"10",71.5214687381232
"11",73.3474934043047
"12",78.6572589076573
"13",77.0973811273665
"14",76.5046513480819
"15",78.408899076881
"16",80.3793165156287
"17",80.2173634787895
"18",78.7698324419335
"19",79.0596463807535
"20",80.9977649564627
"21",79.2232837089786
"22",77.6294182844694
"23",79.4078435871307
"24",77.09796568736
"25",76.9692556230672
"26",77.7789657950552
"27",79.9100235433938
"28",79.4984325873658
"29",74.731040653001
"30",74.3202088803587
"31",77.2623193730673
"32",76.8899788411713
"33",77.1486642153696
"34",73.2766293229083
"35",75.3598891064988
"36",71.7173105621934
"37",71.3921871442993
"38",77.9178819045624
"39",78.1498741343135
"40",79.8212485803651
"41",78.7736861639499
"42",83.3867915076893
"43",84.7281559362489
"44",84.355641908351
"45",87.245184023062
"46",86.7515484620368
"47",88.7351298711225
"48",89.5031245293186
"49",90.3681849380459
"50",93.2334150799582
"51",93.0565077287878
"52",90.1258925523608
"53",90.9663289208832
"54",86.8379782426428
"55",87.4895290187368
"56",82.8096046161933
"57",78.4692275468827
"58",77.2089896402512
"59",77.1876223516492
"60",74.6777584247394
"61",76.0419492725663
"62",70.2894684206281
"63",69.84614397472
"64",72.9379589261199
"65",71.1400404500533
"66",74.8960019392766
"67",72.2634633433721
"68",76.9356737276658
"69",79.4120684618969
"70",78.4522166736617
"71",87.4553471313037
"72",90.0665771096006
"73",88.0981168619549
"74",90.4021356748192
"75",96.2666622398558
"76",97.3353943097076
"77",93.926222009381
"78",95.98231826326
"79",98.4118801016483
"80",98.7368434965247
"81",102.44273773315
"82",99.4641450527508
"83",97.032399645212
"84",92.9239246854483
"85",92.4611509357804
"86",89.3829588128877
"87",83.2607526343281
"88",82.1967516013692
"89",78.4152262999992
"90",71.7707747468882
"91",68.8564377927751
"92",67.976944074581
"93",62.1606358638133
"94",67.237254828673
"95",63.8564818617409
"96",65.293256282285
"97",63.0943473962388
"98",64.5672661684469
"99",65.719726185275
"100",64.1838836476267
"101",66.3805917158854
"102",71.9706390342533
"103",71.9294345137437
"104",72.488322950436
"105",72.6738735804722
"106",79.0257451518505
"107",77.5922078271307
"108",79.5346434766679
"109",82.1527904982576
"110",84.0237879387811
"111",84.2526970949115
"112",86.857615424237
"113",86.5278894142374
"114",86.2665608011429
"115",84.7765873061502
"116",87.3970725084242
"117",86.6800567927943
"118",83.828048951656
"119",81.0743012798104
"120",78.4115994744564
"121",78.9773913995875
"122",78.032885083684
"123",74.3941568558794
"124",75.5302440651407
"125",75.719298196367
"126",72.4234713089764
"127",72.373939265318
"128",70.3727418010189
"129",72.4076188471549
"130",74.1337041974266
"131",74.5320904783761
"132",71.3905704448171
"133",73.9935057621805
"134",70.1017622200439
"135",69.9562996381793
"136",73.9399047484941
"137",77.7821996781821
"138",76.0570420900741
"139",78.0168288012815
"140",77.4568529992666
"141",77.7112386305125
"142",79.2595682675359
"143",74.0145660897629
"144",77.0880951048703
"145",76.3338391121857
"146",78.715242623417
"147",81.3543933484729
"148",78.607322955
"149",74.8976481104132
"150",77.2557964989412
"151",76.0125685131032
"152",77.4486432829037
"153",75.8828051510403
"154",76.704561654974
"155",75.3639616004222
"156",73.1866015343805
"157",70.1464990847544
"158",72.6742393543349
"159",74.8839009247779
"160",72.5787616035702
"161",77.4072399115405
"162",79.9383226296225
"163",79.0520069022064
"164",81.9733773346536
"165",82.7759159520436
"166",86.2076484504497
"167",87.2698389834208
"168",88.8798844882166
"169",90.6576325464227
"170",86.7058947636558
"171",94.0101216254122
"172",95.6160937308077
"173",93.6930403018035
"174",95.2476559229661
"175",95.1991863427571
"176",99.7250277489107
"177",100.94338629997
"178",98.9391029217046
"179",98.7326369166581
"180",94.9939451749408
"181",96.5188629284069
"182",96.4844295436824
"183",98.0168315861854
"184",93.411607115807
"185",97.1998880958626
"186",95.0636579499494
"187",89.9162307364654
"188",90.7238073553442
"189",87.4248920068239
"190",89.7629498069151
"191",89.5967947912838
"192",89.0038645487714
"193",88.7881946597227
"194",85.903948800368
"195",83.5526328208238
"196",89.8459639017897
"197",83.9708031211469
"198",81.6315593407313
"199",81.6490271545202
"200",78.2839085076561
"201",85.2474383168635
"202",79.54672925574
"203",77.6248451283971
"204",80.3656665863311
"205",78.7459396233968
"206",79.2452694314123
"207",77.8492473303889
"208",75.9689327160593
"209",80.6288565386407
"210",77.3470898019454
"211",76.0321851014628
"212",75.0220093643181
"213",81.3118650250072
"214",77.0200946534411
"215",74.4952162999648
"216",76.6514815147951
"217",80.4042438340253
"218",80.2418003013557
"219",73.9701580381755
"220",79.0797504631711
"221",79.7937736852541
"222",78.6269705696331
"223",83.3902922213538
"224",82.577529275944
"225",77.7565823424519
"226",83.2844403021574
"227",83.225301626361
"228",86.8282031919712
"229",85.1099210454551
"230",87.2998504208092
"231",90.3551918516916
"232",87.540772691141
"233",90.4921726292377
"234",89.228357370425
"235",88.9061559232321
"236",88.1181746795856
"237",85.7389119160586
"238",85.8416042185004
"239",82.2516810742358
"240",78.108418590371
"241",74.9377961534419
"242",75.0714439110173
"243",71.5436424550796
"244",67.5374850946553
"245",66.0604598296607
"246",63.1723527935909
"247",60.9080860096582
"248",62.0358022070436
"249",60.6992724619811
"250",59.8602057761036
"251",56.417544182867
"252",61.8113044639536
"253",61.5812593432034
"254",63.296228596113
"255",66.9342769310078
"256",63.075924479975
"257",69.7380623045609
"258",66.7350882984014
"259",73.1055319523187
"260",73.3041573075582
"261",78.6655374040634
"262",83.6025204932802
"263",80.297380824051
"264",86.8739797991827
"265",89.1578876615817
"266",89.0530684503486
"267",89.2909174217272
"268",87.4381428582062
"269",91.772265392929
"270",93.9409810510474
"271",88.6206815454321
"272",88.7694698745222
"273",86.2264919218174
"274",89.0391752719596
"275",90.4636696689357
"276",85.4303385585011
"277",86.9461329286707
"278",88.0982007021962
"279",86.7966666272506
"280",82.5102754615674
"281",83.8124246094755
"282",83.8362608786942
"283",81.2560345173202
"284",78.7947257395228
"285",85.7067120084722
"286",79.7358724719421
"287",80.5296477561986
"288",76.8013804329059
"289",78.0191770445462
"290",77.6797595574588
"291",77.150038704633
"292",77.5660280395275
"293",80.4023257844626
"294",77.7793225743553
"295",79.2636598344527
"296",77.4436061397021
"297",75.6520465064175
"298",74.9100303634776
"299",74.4375041390034
"300",77.1492742443978
"301",77.5328407727194
"302",73.4022622663917
"303",76.7657796972424
"304",76.8516645980102
"305",78.6214315569728
"306",78.5095564531759
"307",76.0374071752733
"308",81.433576018585
"309",75.4801520271486
"310",78.3646691440926
"311",77.8697943501201
"312",80.7946128573185
"313",81.3009815815445
"314",84.6124577764496
"315",83.5184848822687
"316",84.690409544722
"317",81.0548453557706
"318",82.3243423668749
"319",78.7682930402662
"320",81.8839468282309
"321",81.226492939993
"322",86.2594538914969
"323",81.3588067237782
"324",80.6243629834742
"325",82.4932169067111
"326",79.2241773516765
"327",78.4651907703839
"328",80.0866297419518
"329",82.2216833448483
"330",76.8571319571981
"331",78.4689425929716
"332",79.8681374181972
"333",80.6602224317003
"334",80.7105629056227
"335",78.9561728635193
"336",76.9580800362958
"337",78.5971976443892
"338",80.0783502822817
"339",83.933984117135
"340",79.8492203989882
"341",79.4478143124667
"342",80.088837654876
"343",76.2577557788397
"344",77.3961890169257
"345",73.9521503149183
"346",81.4842190181784
"347",79.5313025615351
"348",79.5229657005209
"349",78.8260223101439
"350",76.538115339681
"351",78.4635301209667
"352",80.1861366898708
"353",74.6682558233257
"354",80.9868912287771
"355",77.5268707062584
"356",81.798697129137
"357",79.7596175228171
"358",82.5433064222525
"359",85.5481324970786
"360",88.7170296937075
"361",88.7931029747646
"362",88.3034934844716
"363",93.8077476492809
"364",91.8599767677281
"365",97.5279603620466
"366",97.3698773606947
"367",98.0391671378974
"368",98.3337785948176
"369",97.5537918377665
"370",95.3318502213434
"371",99.0065253064315
"372",99.851476914097
"373",99.2731195697809
"374",95.4977762434457
"375",96.1381239783601
"376",96.7743892277884
"377",95.4884049032859
"378",92.7383723786544
"379",92.9767701680171
"380",94.4021345607451
"381",87.2199434492397
"382",89.2997483949701
"383",88.5169723194372
"384",83.4063247557627
"385",82.4641425881534
"386",84.516626983097
"387",80.4962164103082
"388",80.7709364505106
"389",76.878385473603
"390",79.9856492015671
"391",76.0054548351305
"392",79.7339547544876
"393",83.2713712381133
"394",77.2259070943905
"395",78.7971781733458
"396",82.887008924011
"397",80.1564293506867
"398",81.0831321997069
"399",86.7348202232264
"400",83.3265953489087
"401",87.1065505620668
"402",86.4828292973255
"403",85.8381246509789
"404",82.7126914958753
"405",82.917972203449
"406",84.0574775563324
"407",83.4721381874967
"408",85.041474078119
"409",86.740315540344
"410",88.3770490095041
"411",83.2874707848388
"412",84.2280482840297
"413",83.0039027121772
"414",76.9834261590882
"415",80.073576957265
"416",78.9232215751613
"417",77.5534967609039
"418",78.7963086753915
"419",77.1956377451838
"420",79.4154288653261
"421",82.7968508348296
"422",81.2176780533266
"423",85.0309015652479
"424",83.7359213753888
"425",89.3844449229241
"426",89.6058368824364
"427",88.6840625941793
"428",93.1471798622853
"429",95.4597372970192
"430",95.8617824732507
"431",99.872146312662
"432",103.208540958733
"433",104.648101020087
"434",104.276494922492
"435",101.190260666997
"436",104.962297383425
"437",107.643552630703
"438",102.490261647313
"439",109.301383219204
"440",102.161774135569
"441",103.025427356887
"442",102.612196115286
"443",98.1875346052706
"444",95.9444329108675
"445",92.6013636043005
"446",89.9604726728251
"447",90.5430347927404
"448",86.4521326002564
"449",87.4728253089266
"450",83.9104156067864
"451",83.391813335855
"452",80.3104566319594
"453",78.033843147352
"454",76.7157204626796
"455",77.7315827252245
"456",79.7694957214007
"457",74.7927370323952
"458",76.5828321410681
"459",80.403301023733
"460",77.0543342134496
"461",75.3424105555712
"462",78.4844579762845
"463",75.0216983466828
"464",79.9027323006467
"465",80.8306764436348
"466",85.0830769593275
"467",89.2639808736661
"468",86.2744298926416
"469",87.7537714578146
"470",90.8206972382536
"471",88.1852444637454
"472",90.1101408777497
"473",90.6468042388984
"474",90.340185308349
"475",89.2278360737485
"476",89.978056939574
"477",87.8402046663715
"478",86.7319102876504
"479",89.2963464274739
"480",87.6372518957381
"481",83.8839121604219
"482",82.3360994761143
"483",83.657941187979
"484",86.5932153873764
"485",81.2626836876745
"486",81.7627843037134
"487",84.2536972600394
"488",87.9095338111404
"489",82.9352951038003
"490",84.4425474767076
"491",88.8403304340624
"492",86.7136770127735
"493",92.7426963893915
"494",92.1190355424029
"495",92.4473084638543
"496",92.8876306841579
"497",94.2909261791366
"498",93.2296977862351
"499",93.3472934300198
"500",94.6851484051434
"501",92.3222933992878
"502",89.3642861679116
"503",92.2632498568644
"504",88.3099139629098
"505",90.6710554899042
"506",86.6723066735151
"507",85.8209442460462
"508",85.683005559857
"509",83.3427043988384
"510",79.5727959450771
"511",80.6671034276419
"512",79.3713106929302
"513",78.4460149157064
"514",81.0750676637417
"515",79.2480202940999
"516",76.603647916817
"517",78.3935830046936
"518",80.0227736206723
"519",79.3150691210204
"520",77.3753343337131
"521",83.0557204052308
"522",82.9285363672637
"523",83.5002737861228
"524",82.2781556504884
"525",80.881432090816
"526",83.1274425587324
"527",80.5883706488957
"528",77.9109281448536
"529",78.1118177381554
"530",80.3204803465356
"531",79.9360911738521
"532",80.9018772681143
"533",78.0206960492395
"534",79.1787116080104
"535",80.301596501144
"536",81.3526019522502
"537",76.7401790499561
"538",79.2072224636664
"539",83.1754747130918
"540",83.4695744198252
"541",81.6738197408677
"542",85.9147542283055
"543",84.2904231610935
"544",85.8358359002699
"545",91.1891720779777
"546",93.2072810952466
"547",92.934064754584
"548",99.2869855363278
"549",97.4616583823827
"550",101.529001194686
"551",101.867664940358
"552",98.8315161365334
"553",103.663044146075
"554",106.30752901732
"555",103.010915054536
"556",100.304833316249
"557",102.761744782724
"558",107.985016109556
"559",103.843051819517
"560",104.237398125681
"561",100.954126061237
"562",98.2027086451822
"563",96.8572042651029
"564",99.5268075784889
"565",95.4919938508873
"566",99.0165090395556
"567",102.128123870869
"568",100.599344005851
"569",93.500136353229
"570",98.9372949255139
"571",99.0802404537756
"572",97.4921432027933
"573",99.0870049615007
"574",99.6637832824762
"575",97.0592167901195
"576",102.68063323668
"577",99.7732768993738
"578",99.6216078287135
"579",96.2737907883386
"580",99.0623122765649
"581",97.8013956914271
"582",97.58480525249
"583",95.9116186732252
"584",97.5186026637898
"585",95.8893489396424
"586",91.3371194449345
"587",90.8886640347355
"588",93.1107860147881
"589",92.8370921070044
"590",90.206900914518
"591",92.763143105759
"592",92.6603027038478
"593",90.8826761016941
"594",91.0586460386367
"595",91.6578034017105
"596",96.2163817511221
"597",97.3523982367849
"598",99.3301146716986
"599",95.2198826604119
"600",101.979580031371
"601",98.3421635793656
"602",103.599589211025
"603",101.946510772882
"604",97.6585458238182
"605",100.881634048445
"606",101.324160592014
"607",100.346500208599
"608",99.3799159897019
"609",99.4825140377257
"610",98.2568351187463
"611",98.9324315296289
"612",97.7981427856301
"613",90.8116886433411
"614",92.593626497602
"615",95.4320100691491
"616",90.5037453899406
"617",98.7552032267946
"618",96.8721977105706
"619",98.3524529972918
"620",98.946939244439
"621",100.662745206509
"622",103.153715240744
"623",104.378376204416
"624",105.455233571085
"625",106.314330069292
"626",111.693976049016
"627",114.020192016649
"628",116.839219267238
"629",117.170823104177
"630",120.352247354909
"631",121.477046391703
"632",123.782515929354
"633",123.399651090856
"634",119.391107636709
"635",117.975500080236
"636",118.220921248845
"637",118.879918756714
"638",115.962168337288
"639",114.741624870595
"640",114.182924231293
"641",111.746717234288
"642",113.722177045069
"643",113.158014549717
"644",112.020344259973
"645",109.166066539955
"646",109.147040298071
"647",106.435290810764
"648",110.389619048694
"649",107.991489635516
"650",109.002670589612
"651",105.265168721665
"652",107.981623723204
"653",106.291636850483
"654",108.038730546194
"655",104.698751153305
"656",105.352446409814
"657",100.031179661367
"658",102.564704995548
"659",98.3695635922208
